Audio File,Text,dependencies
advanced-english-vocabulary-shorts-1280-ytshorts.savetube.me.mp3,someone who is generous and helpful is kind curious benevolent if you feel unhappy you are upset detector you can say it's,"[('someone', 'nsubj', 'is'), ('who', 'nsubj', 'is'), ('is', 'relcl', 'someone'), ('generous', 'acomp', 'is'), ('and', 'cc', 'generous'), ('helpful', 'conj', 'generous'), ('is', 'ccomp', 'say'), ('kind', 'advmod', 'curious'), ('curious', 'amod', 'benevolent'), ('benevolent', 'attr', 'is'), ('if', 'mark', 'feel'), ('you', 'nsubj', 'feel'), ('feel', 'advcl', 'say'), ('unhappy', 'acomp', 'feel'), ('you', 'nsubj', 'are'), ('are', 'ccomp', 'unhappy'), ('upset', 'amod', 'detector'), ('detector', 'attr', 'are'), ('you', 'nsubj', 'say'), ('can', 'aux', 'say'), ('say', 'ROOT', 'say'), ('it', 'nsubj', ""'s""), (""'s"", 'ccomp', 'say')]"
buying-shoes-english-phrases-english-shorts-1280-ytshorts.savetube.me.mp3,hello how can I help you today hi I want to look at your shoes ok so you are browsing excuse me I want those shoes OK what size do you wear I wear a size 38 try this on please ok do you have this thing so I can try it on easier excuse me do you need to horn these shoes are so big for me right yes and how much are day they are 10000 let me check my bank account and I'll be back,"[('hello', 'intj', 'help'), ('how', 'advmod', 'help'), ('can', 'aux', 'help'), ('I', 'nsubj', 'help'), ('help', 'ROOT', 'help'), ('you', 'dobj', 'help'), ('today', 'npadvmod', 'help'), ('hi', 'intj', 'want'), ('I', 'nsubj', 'want'), ('want', 'ROOT', 'want'), ('to', 'aux', 'look'), ('look', 'xcomp', 'want'), ('at', 'prep', 'look'), ('your', 'poss', 'shoes'), ('shoes', 'pobj', 'at'), ('ok', 'intj', 'browsing'), ('so', 'advmod', 'browsing'), ('you', 'nsubj', 'browsing'), ('are', 'aux', 'browsing'), ('browsing', 'ROOT', 'browsing'), ('excuse', 'dobj', 'browsing'), ('me', 'dobj', 'excuse'), ('I', 'nsubj', 'want'), ('want', 'ROOT', 'want'), ('those', 'det', 'shoes'), ('shoes', 'nsubj', 'OK'), ('OK', 'ccomp', 'want'), ('what', 'det', 'size'), ('size', 'dobj', 'wear'), ('do', 'aux', 'wear'), ('you', 'nsubj', 'wear'), ('wear', 'ccomp', 'OK'), ('I', 'nsubj', 'wear'), ('wear', 'ccomp', 'want'), ('a', 'det', 'size'), ('size', 'dobj', 'wear'), ('38', 'nummod', 'size'), ('try', 'ccomp', 'want'), ('this', 'dobj', 'try'), ('on', 'prep', 'try'), ('please', 'intj', 'on'), ('ok', 'intj', 'have'), ('do', 'aux', 'have'), ('you', 'nsubj', 'have'), ('have', 'conj', 'want'), ('this', 'det', 'thing'), ('thing', 'dobj', 'have'), ('so', 'advmod', 'try'), ('I', 'nsubj', 'try'), ('can', 'aux', 'try'), ('try', 'ROOT', 'try'), ('it', 'dobj', 'try'), ('on', 'prep', 'try'), ('easier', 'amod', 'excuse'), ('excuse', 'pobj', 'on'), ('me', 'npadvmod', 'try'), ('do', 'aux', 'need'), ('you', 'nsubj', 'need'), ('need', 'ccomp', 'try'), ('to', 'aux', 'horn'), ('horn', 'xcomp', 'need'), ('these', 'det', 'shoes'), ('shoes', 'dobj', 'horn'), ('are', 'ccomp', 'try'), ('so', 'advmod', 'big'), ('big', 'acomp', 'are'), ('for', 'prep', 'big'), ('me', 'pobj', 'for'), ('right', 'ROOT', 'right'), ('yes', 'intj', 'are'), ('and', 'cc', 'are'), ('how', 'advmod', 'much'), ('much', 'nsubj', 'are'), ('are', 'ccomp', 'let'), ('day', 'attr', 'are'), ('they', 'nsubj', 'are'), ('are', 'ccomp', 'are'), ('10000', 'attr', 'are'), ('let', 'ROOT', 'let'), ('me', 'nsubj', 'check'), ('check', 'ccomp', 'let'), ('my', 'poss', 'account'), ('bank', 'compound', 'account'), ('account', 'dobj', 'check'), ('and', 'cc', 'let'), ('I', 'nsubj', 'be'), (""'ll"", 'aux', 'be'), ('be', 'conj', 'let'), ('back', 'advmod', 'be')]"
common-english-phrases-at-the-hotel-english-learnenglish-shorts-1280-ytshorts.savetube.me.mp3,welcome to the Grand Star Hotel how can I help you hi good morning we have a room for better and Bella excuse me we have a reservation under the name of Bahar we both the room for today yes we are taken in today on 21st of October yes I can see your reservation so where is our room you will be saying in a room on the second floor here's your key what about your Wi-Fi could you please tell us the Wi-Fi password show its Hotel guest 123 It's All Over the key for our room she just give us the,"[('welcome', 'intj', 'help'), ('to', 'prep', 'welcome'), ('the', 'det', 'Hotel'), ('Grand', 'compound', 'Star'), ('Star', 'compound', 'Hotel'), ('Hotel', 'pobj', 'to'), ('how', 'advmod', 'help'), ('can', 'aux', 'help'), ('I', 'nsubj', 'help'), ('help', 'ROOT', 'help'), ('you', 'nsubj', 'hi'), ('hi', 'ccomp', 'help'), ('good', 'amod', 'morning'), ('morning', 'npadvmod', 'help'), ('we', 'nsubj', 'have'), ('have', 'ccomp', 'help'), ('a', 'det', 'room'), ('room', 'dobj', 'have'), ('for', 'prep', 'room'), ('better', 'pcomp', 'for'), ('and', 'cc', 'have'), ('Bella', 'nsubj', 'excuse'), ('excuse', 'conj', 'have'), ('me', 'dobj', 'excuse'), ('we', 'nsubj', 'have'), ('have', 'ccomp', 'excuse'), ('a', 'det', 'reservation'), ('reservation', 'dobj', 'have'), ('under', 'prep', 'reservation'), ('the', 'det', 'name'), ('name', 'pobj', 'under'), ('of', 'prep', 'name'), ('Bahar', 'pobj', 'of'), ('we', 'dobj', 'help'), ('both', 'preconj', 'room'), ('the', 'det', 'room'), ('room', 'appos', 'we'), ('for', 'prep', 'room'), ('today', 'pobj', 'for'), ('yes', 'intj', 'taken'), ('we', 'nsubjpass', 'taken'), ('are', 'auxpass', 'taken'), ('taken', 'ROOT', 'taken'), ('in', 'prt', 'taken'), ('today', 'npadvmod', 'taken'), ('on', 'prep', 'taken'), ('21st', 'pobj', 'on'), ('of', 'prep', '21st'), ('October', 'pobj', 'of'), ('yes', 'intj', 'see'), ('I', 'nsubj', 'see'), ('can', 'aux', 'see'), ('see', 'ccomp', ""'s""), ('your', 'poss', 'reservation'), ('reservation', 'dobj', 'see'), ('so', 'advmod', 'see'), ('where', 'advmod', 'is'), ('is', 'ccomp', 'see'), ('our', 'poss', 'room'), ('room', 'nsubj', 'is'), ('you', 'nsubj', 'saying'), ('will', 'aux', 'saying'), ('be', 'aux', 'saying'), ('saying', 'relcl', 'room'), ('in', 'prep', 'saying'), ('a', 'det', 'room'), ('room', 'pobj', 'in'), ('on', 'prep', 'room'), ('the', 'det', 'floor'), ('second', 'amod', 'floor'), ('floor', 'pobj', 'on'), ('here', 'advmod', ""'s""), (""'s"", 'ROOT', ""'s""), ('your', 'poss', 'key'), ('key', 'attr', ""'s""), ('what', 'dep', 'about'), ('about', 'prep', 'key'), ('your', 'poss', 'Fi'), ('Wi', 'compound', 'Fi'), ('-', 'punct', 'Fi'), ('Fi', 'pobj', 'about'), ('could', 'aux', 'tell'), ('you', 'nsubj', 'tell'), ('please', 'intj', 'tell'), ('tell', 'advcl', ""'s""), ('us', 'dative', 'tell'), ('the', 'det', 'password'), ('Wi', 'compound', 'Fi'), ('-', 'punct', 'Fi'), ('Fi', 'compound', 'password'), ('password', 'nsubj', 'show'), ('show', 'ccomp', 'tell'), ('its', 'poss', 'guest'), ('Hotel', 'compound', 'guest'), ('guest', 'dobj', 'show'), ('123', 'punct', 'tell'), ('It', 'nsubj', ""'s""), (""'s"", 'ROOT', ""'s""), ('All', 'advmod', 'Over'), ('Over', 'prep', ""'s""), ('the', 'det', 'key'), ('key', 'pobj', 'Over'), ('for', 'prep', 'key'), ('our', 'poss', 'room'), ('room', 'pobj', 'for'), ('she', 'nsubj', 'give'), ('just', 'advmod', 'give'), ('give', 'ccomp', ""'s""), ('us', 'dative', 'give'), ('the', 'dobj', 'give')]"
daily-used-english-conversation-practice-wrongly-used-phrases-shorts-learnenglish-ananya-1280-ytshorts.savetube.me.mp3,hey how often do you go to the Gym so one day yes one day news so you mean every other day or every second ok so I go to the gym every other day or every second day perfect and I eat outside one day in 15 days see me once in a fortnight no no no no no not every night means once in every 15 days 15 days,"[('hey', 'intj', 'go'), ('how', 'advmod', 'often'), ('often', 'advmod', 'go'), ('do', 'aux', 'go'), ('you', 'nsubj', 'go'), ('go', 'ROOT', 'go'), ('to', 'prep', 'go'), ('the', 'det', 'Gym'), ('Gym', 'pobj', 'to'), ('so', 'advmod', 'go'), ('one', 'nummod', 'day'), ('day', 'npadvmod', 'news'), ('yes', 'intj', 'news'), ('one', 'nummod', 'day'), ('day', 'compound', 'news'), ('news', 'punct', 'go'), ('so', 'advmod', 'mean'), ('you', 'nsubj', 'mean'), ('mean', 'ROOT', 'mean'), ('every', 'det', 'day'), ('other', 'amod', 'day'), ('day', 'npadvmod', 'mean'), ('or', 'cc', 'day'), ('every', 'det', 'second'), ('second', 'conj', 'day'), ('ok', 'intj', 'go'), ('so', 'advmod', 'go'), ('I', 'nsubj', 'go'), ('go', 'ROOT', 'go'), ('to', 'prep', 'go'), ('the', 'det', 'gym'), ('gym', 'pobj', 'to'), ('every', 'det', 'day'), ('other', 'amod', 'day'), ('day', 'npadvmod', 'perfect'), ('or', 'cc', 'day'), ('every', 'det', 'day'), ('second', 'amod', 'day'), ('day', 'npadvmod', 'perfect'), ('perfect', 'advcl', 'go'), ('and', 'cc', 'eat'), ('I', 'nsubj', 'eat'), ('eat', 'ROOT', 'eat'), ('outside', 'advmod', 'eat'), ('one', 'nummod', 'day'), ('day', 'npadvmod', 'eat'), ('in', 'prep', 'eat'), ('15', 'nummod', 'days'), ('days', 'pobj', 'in'), ('see', 'advcl', 'eat'), ('me', 'dobj', 'see'), ('once', 'advmod', 'see'), ('in', 'prep', 'see'), ('a', 'det', 'fortnight'), ('fortnight', 'pobj', 'in'), ('no', 'ROOT', 'no'), ('no', 'ROOT', 'no'), ('no', 'ROOT', 'no'), ('no', 'intj', 'means'), ('no', 'intj', 'means'), ('not', 'neg', 'night'), ('every', 'det', 'night'), ('night', 'nsubj', 'means'), ('means', 'ROOT', 'means'), ('once', 'advmod', 'means'), ('in', 'prep', 'means'), ('every', 'det', 'days'), ('15', 'nummod', 'days'), ('days', 'pobj', 'in'), ('15', 'nummod', 'days'), ('days', 'npadvmod', 'means')]"
english-phrases-at-the-hotel-english-learnenglish-shorts-1280-ytshorts.savetube.me.mp3,hello this is room 325 can you clean my room when I am out yes sure we will have your room cleans by Housekeeping and also I need two more pillows for my room it's fine we will bring some extra pills to your room right,"[('hello', 'intj', 'is'), ('this', 'nsubj', 'is'), ('is', 'ccomp', 'clean'), ('room', 'attr', 'is'), ('325', 'nummod', 'room'), ('can', 'aux', 'clean'), ('you', 'nsubj', 'clean'), ('clean', 'ROOT', 'clean'), ('my', 'poss', 'room'), ('room', 'dobj', 'clean'), ('when', 'advmod', 'am'), ('I', 'nsubj', 'am'), ('am', 'advcl', 'clean'), ('out', 'advmod', 'am'), ('yes', 'intj', 'sure'), ('sure', 'acomp', 'am'), ('we', 'nsubj', 'have'), ('will', 'aux', 'have'), ('have', 'ccomp', 'sure'), ('your', 'poss', 'room'), ('room', 'nsubj', 'cleans'), ('cleans', 'dobj', 'have'), ('by', 'prep', 'cleans'), ('Housekeeping', 'pobj', 'by'), ('and', 'cc', 'have'), ('also', 'advmod', 'need'), ('I', 'nsubj', 'need'), ('need', 'conj', 'have'), ('two', 'nummod', 'pillows'), ('more', 'amod', 'pillows'), ('pillows', 'dobj', 'need'), ('for', 'prep', 'pillows'), ('my', 'poss', 'room'), ('room', 'pobj', 'for'), ('it', 'nsubj', ""'s""), (""'s"", 'conj', 'clean'), ('fine', 'acomp', ""'s""), ('we', 'nsubj', 'bring'), ('will', 'aux', 'bring'), ('bring', 'ccomp', ""'s""), ('some', 'det', 'pills'), ('extra', 'amod', 'pills'), ('pills', 'dobj', 'bring'), ('to', 'prep', 'bring'), ('your', 'poss', 'room'), ('room', 'pobj', 'to'), ('right', 'advmod', 'bring')]"
he-is-stalking-you-english-learnenglish-shorts-1280-ytshorts.savetube.me.mp3,hey is everything alright what happens that's why is coming Wherever I Go oh he is talking you you mean he is a stalker yes exactly he is stalker really what should I do now this is my house you can come in,"[('hey', 'intj', 'is'), ('is', 'ROOT', 'is'), ('everything', 'attr', 'is'), ('alright', 'advmod', 'is'), ('what', 'nsubj', 'happens'), ('happens', 'ccomp', 'is'), ('that', 'nsubj', ""'s""), (""'s"", 'ccomp', 'happens'), ('why', 'advmod', 'coming'), ('is', 'aux', 'coming'), ('coming', 'ccomp', ""'s""), ('Wherever', 'advmod', 'Go'), ('I', 'nsubj', 'Go'), ('Go', 'ROOT', 'Go'), ('oh', 'intj', 'talking'), ('he', 'nsubj', 'talking'), ('is', 'aux', 'talking'), ('talking', 'ROOT', 'talking'), ('you', 'dobj', 'talking'), ('you', 'nsubj', 'mean'), ('mean', 'parataxis', 'is'), ('he', 'nsubj', 'is'), ('is', 'ROOT', 'is'), ('a', 'det', 'stalker'), ('stalker', 'attr', 'is'), ('yes', 'intj', 'is'), ('exactly', 'advmod', 'is'), ('he', 'nsubj', 'is'), ('is', 'ccomp', 'is'), ('stalker', 'attr', 'is'), ('really', 'advmod', 'is'), ('what', 'dobj', 'do'), ('should', 'aux', 'do'), ('I', 'nsubj', 'do'), ('do', 'parataxis', 'is'), ('now', 'advmod', 'do'), ('this', 'nsubj', 'is'), ('is', 'ROOT', 'is'), ('my', 'poss', 'house'), ('house', 'attr', 'is'), ('you', 'nsubj', 'come'), ('can', 'aux', 'come'), ('come', 'ccomp', 'is'), ('in', 'advmod', 'come')]"
hotel-phrases-conversations-in-english-english-learnenglish-shorts-1280-ytshorts.savetube.me.mp3,hello this is room 324 can I have a request of course how can I help you I want another bad for my room I have a guess this afternoon ok one extra bed will be blocked your room and can you wake me up tomorrow morning at 7:30 so you want a wake up call we can do that for you thank you thank you so much,"[('hello', 'intj', 'is'), ('this', 'nsubj', 'is'), ('is', 'ROOT', 'is'), ('room', 'attr', 'is'), ('324', 'nummod', 'room'), ('can', 'aux', 'have'), ('I', 'nsubj', 'have'), ('have', 'ccomp', 'is'), ('a', 'det', 'request'), ('request', 'dobj', 'have'), ('of', 'prep', 'request'), ('course', 'pobj', 'of'), ('how', 'advmod', 'help'), ('can', 'aux', 'help'), ('I', 'nsubj', 'help'), ('help', 'relcl', 'request'), ('you', 'dobj', 'help'), ('I', 'nsubj', 'want'), ('want', 'ccomp', 'help'), ('another', 'det', 'bad'), ('bad', 'dobj', 'want'), ('for', 'prep', 'bad'), ('my', 'poss', 'room'), ('room', 'pobj', 'for'), ('I', 'nsubj', 'have'), ('have', 'conj', 'is'), ('a', 'det', 'guess'), ('guess', 'dobj', 'have'), ('this', 'det', 'afternoon'), ('afternoon', 'npadvmod', 'have'), ('ok', 'prep', 'blocked'), ('one', 'nummod', 'bed'), ('extra', 'amod', 'bed'), ('bed', 'nsubjpass', 'blocked'), ('will', 'aux', 'blocked'), ('be', 'auxpass', 'blocked'), ('blocked', 'ROOT', 'blocked'), ('your', 'poss', 'room'), ('room', 'dobj', 'blocked'), ('and', 'cc', 'blocked'), ('can', 'aux', 'wake'), ('you', 'nsubj', 'wake'), ('wake', 'conj', 'blocked'), ('me', 'dobj', 'wake'), ('up', 'prt', 'wake'), ('tomorrow', 'compound', 'morning'), ('morning', 'npadvmod', 'wake'), ('at', 'prep', 'wake'), ('7:30', 'pobj', 'at'), ('so', 'advmod', 'want'), ('you', 'nsubj', 'want'), ('want', 'conj', 'wake'), ('a', 'det', 'call'), ('wake', 'amod', 'call'), ('up', 'prt', 'wake'), ('call', 'dobj', 'want'), ('we', 'nsubj', 'do'), ('can', 'aux', 'do'), ('do', 'ccomp', 'want'), ('that', 'dobj', 'do'), ('for', 'mark', 'thank'), ('you', 'nsubj', 'thank'), ('thank', 'advcl', 'do'), ('you', 'nsubj', 'thank'), ('thank', 'ccomp', 'thank'), ('you', 'dobj', 'thank'), ('so', 'advmod', 'much'), ('much', 'advmod', 'thank')]"
